Heat stress, climate disasters, and livelihood loss are increasingly linked to mental health problems in India, with emerging evidence for anxiety, depression, climate distress, and post-disaster syndromes such as PTSD, often mediated by heat, displacement, and economic stress.

## Evidence table: Mental health, heat, displacement, climate distress

| Paper | Year | Geography | Climate cause / exposure | Disease outcome | Effect type (RR/HR/OR/AF/burden/mechanism) | Key numeric evidence | Priority (High/Medium/Low) | Directly usable for Step 3 (Yes/Maybe/No) | Why | Link |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Climate change and mental health in India: a narrative review | 2025 | India | Heat stress, drought, floods, climate-related displacement | Anxiety, depression, climate distress, PTSD, suicide risk | Mechanism + selected ORs (context-only, India-focused) | Summarizes heat stress and climate disasters associated with elevated anxiety, depression, and climate-linked distress; higher vulnerability in farmers, women, and displaced populations. | High | Maybe | India-focused synthesis for climate-mental-health pathway framing. | https://pmc.ncbi.nlm.nih.gov/articles/PMC12698474/ |
| The impact of climate change on mental health (global review) | 2020 | Global | Climate change, extreme weather, chronic environmental stress | Anxiety, depression, PTSD, climate distress, suicide risk | Mechanism + pooled OR/RR (meta-review) | Meta-syntheses commonly report 1.5-3x higher odds of anxiety/depression after disasters versus non-exposed populations. | High | Yes | Provides generic pooled effects usable where India RRs are sparse. | https://doi.org/10.3389/fpsyt.2020.00074 |
| Why mental health is a priority for action on climate change (WHO policy brief) | 2022 | Global | Climate-related heat, drought, floods, cyclones, chronic stress | Anxiety, depression, PTSD, climate distress | Mechanism / burden narrative | WHO notes substantial psychological distress after disasters; clinical-threshold disorders in a meaningful subset. | High | Maybe | Policy-grade evidence for burden framing and priority setting. | https://www.who.int/news/item/03-06-2022-why-mental-health-is-a-priority-for-action-on-climate-change |
| Mental health after India's glacial floods - case study | 2025 | India (Himalayan flood-affected region) | Glacial-flood disaster and displacement | Psychological distress, anxiety, depression, PTSD | OR / prevalence (cross-sectional survey) | Large share of survivors reported significant psychological stress and clinical-threshold symptoms. | High | Yes | India-specific post-disaster mental-health quantification. | https://www.thinkglobalhealth.org/article/mental-health-after-indias-glacial-floods |
| Climate-linked mental health impacts on vulnerable communities (India-focused think-tank) | 2025 | India | Climate disasters, drought, heat, displacement | Anxiety, depression, PTSD, climate-linked distress | Mechanism / prevalence narrative | Vulnerable groups (farmers, informal workers, women, migrants) show higher symptom prevalence and stress disorders. | Medium | No | Useful vulnerability narrative, limited for direct RR modeling. | https://iisppr.org.in/climate-crisis-and-mental-health-impacts-on-vulnerable-communities/ |
| National Action Plan on climate change and mental health (NCDC, India) | 2025 | India | Heatwaves, drought, disasters, chronic stress | Mood disorders, anxiety, depression, suicide risk | Mechanism, policy guidance | Heat and disasters exacerbate pre-existing mental-health vulnerabilities in exposed groups. | Medium | No | Official India document useful for policy framing. | https://ncdc.mohfw.gov.in/uploads/pdf/mental10.pdf |
| Mental health in emergencies (WHO fact sheet) | 2025 | Global | Disaster emergencies (floods, cyclones, droughts, heat crises) | Distress, anxiety, depression, PTSD | Burden, prevalence, mechanisms | WHO prevalence priors for post-emergency mental-health disorders can support model assumptions. | High | Yes | Useful default priors for EBOD when local RRs are missing. | https://www.who.int/news-room/fact-sheets/detail/mental-health-in-emergencies |
| Eco-anxiety report - climate change and mental health (India-focused policy brief) | 2022 | India | Observed and anticipated climate change, heat, drought, extreme weather | Eco-anxiety, climate distress, anxiety, depression | Mechanism / narrative, selected ORs | Describes climate distress and livelihood-linked psychological burden in India. | Medium | Maybe | Supports trend narrative but limited formal RR extraction. | https://climateconnection.org.in/updates/eco-anxiety-impact-climate-change-mental-health |
| Feeling blue about climate change: mental health impact in India | 2025 | India | Heat stress, air quality deterioration, climate disasters, displacement | Anxiety, depression, climate distress, irritability | Mechanism + selected prevalence | Summarizes links between heat/disaster stressors and mental-health symptom escalation. | Medium | No | Stakeholder-facing synthesis, not a primary RR source. | https://paramcohort.in/feeling-blue-about-climate-change-the-mental-health-impact-in-india-and-why-its-not-just-the-weather/ |
